名前,父,母
ゴールドシップ,ステイゴールド,ポイントフラッグ
ステイゴールド,サンデーサイレンス,ゴールデンサッシュ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ゴールデンサッシュ,ディクタス,ダイナサッシュ
ディクタス,Sanctus,Doronic
Sanctus,Fine Top,Sanelta
Doronic,Worden,Dulzetta
ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ
ノーザンテースト,Northern Dancer,Lady Victoria
ロイヤルサッシュ,Princely Gift,Sash of Honour
ポイントフラッグ,メジロマックイーン,パストラリズム
メジロマックイーン,メジロティターン,メジロオーロラ
メジロティターン,メジロアサマ,シエリル
メジロアサマ,パーソロン,スヰート
シエリル,スノッブ,Chanel
メジロオーロラ,リマンド,メジロアイリス
リマンド,Alcide,Admonish
メジロアイリス,ヒンドスタン,アサマユリ
パストラリズム,プルラリズム,トクノエイティー
プルラリズム,The Minstrel,Cambretta
The Minstrel,Northern Dancer,Fleur
Cambretta,Roberto,Cambrienne
トクノエイティー,トライバルチーフ,アイアンルビー
トライバルチーフ,Princely Gift,Mwanza
アイアンルビー,ラークスパー,風玲
