名前,父,母
サイレンススズカ,サンデーサイレンス,ワキア
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
ワキア,Miswaki,Rascal Rascal
Miswaki,Mr. Prospector,Hopespringseternal
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
Hopespringseternal,Buckpasser,Rose Bower
Buckpasser,Tom Fool,Busanda
Rose Bower,Princequillo,Lea Lane
Rascal Rascal,Ack Ack,Savage Bunny
Ack Ack,Battle Joined,Fast Turn
Battle Joined,Armageddon,Ethel Walker
Fast Turn,Turn-to,Cherokee Rose
Savage Bunny,Never Bend,Tudor Jet
Never Bend,Nasrullah,Lalun
Tudor Jet,Tudor Minstrel,Precious Lady
