名前,父,母
サウンズオブアース,ネオユニヴァース,ファーストバイオリン
ネオユニヴァース,サンデーサイレンス,ポインテッドパス
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ポインテッドパス,Kris,Silken Way
Kris,Sharpen Up,Doubly Sure
Sharpen Up,エタン,Rocchetta
Doubly Sure,Reliance,Soft Angels
Silken Way,Shantung,Boulevard
Shantung,Sicambre,Barley Corn
Boulevard,Pall Mall,Costa Sola
ファーストバイオリン,Dixieland Band,Sunrise Symphony
Dixieland Band,Northern Dancer,Mississippi Mud
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Mississippi Mud,Delta Judge,Sand Buggy
Delta Judge,Traffic Judge,Beautillion
Sand Buggy,Warfare,Egyptian
Sunrise Symphony,Secretariat,Wimbledon Star
Secretariat,Bold Ruler,Somethingroyal
Bold Ruler,Nasrullah,Miss Disco
Somethingroyal,Princequillo,Imperatrice
Wimbledon Star,Hoist the Flag,Chris Evert
Hoist the Flag,Tom Rolfe,Wavy Navy
Chris Evert,Swoon's Son,Miss Carmie
