名前,父,母
サクラローレル,Rainbow Quest,ローラローラ
Rainbow Quest,Blushing Groom,I Will Follow
Blushing Groom,Red God,Runaway Bride
Red God,Nasrullah,Spring Run
Nasrullah,Nearco,Mumtaz Begum
Spring Run,Menow,Boola Brook
Runaway Bride,Wild Risk,Aimee
Wild Risk,Rialto,Wild Violet
Aimee,Tudor Minstrel,Emali
I Will Follow,Herbager,Where You Lead
Herbager,Vandale,Flagette
Vandale,Plassy,Vanille
Flagette,Escamillo,Fidgette
Where You Lead,Raise a Native,Noblesse
Raise a Native,Native Dancer,Raise You
Noblesse,Mossborough,Duke's Delight
ローラローラ,Saint Cyrien,Bold Lady
Saint Cyrien,Luthier,Sevres
Luthier,Klairon,Flute Enchantee
Klairon,Clarion,Kalmia
Flute Enchantee,Cranach,Montagnana
Sevres,Riverman,Saratoga
Riverman,Never Bend,River Lady
Saratoga,スノッブ,Sariegail
Bold Lady,ボールドラツド,Tredam
ボールドラツド,Bold Ruler,Misty Morn
Bold Ruler,Nasrullah,Miss Disco
Misty Morn,Princequillo,Grey Flight
Tredam,High Treason,Damasi
High Treason,Court Martial,Eastern Grandeur
Damasi,Djebel,Monrovia
