名前,父,母
サトノクラウン,Marju,ジョコンダII
Marju,ラストタイクーン,Flame of Tara
ラストタイクーン,トライマイベスト,Mill Princess
トライマイベスト,Northern Dancer,Sex Appeal
Northern Dancer,Nearctic,Natalma
Sex Appeal,Buckpasser,Best in Show
Mill Princess,Mill Reef,Irish Lass
Mill Reef,Never Bend,Milan Mill
Irish Lass,Sayajirao,Scollata
Flame of Tara,アーテイアス,Welsh Flame
アーテイアス,Round Table,Stylish Pattern
Round Table,Princequillo,Knights Daughter
Stylish Pattern,My Babu,Sunset Gun
Welsh Flame,Welsh Pageant,Electric Flash
Welsh Pageant,Tudor Melody,Picture Light
Electric Flash,Crepello,Lightning
ジョコンダII,Rossini,La Joconde
Rossini,Miswaki,Touch of Greatness
Miswaki,Mr. Prospector,Hopespringseternal
Mr. Prospector,Raise a Native,Gold Digger
Hopespringseternal,Buckpasser,Rose Bower
Touch of Greatness,Hero's Honor,Ivory Wand
Hero's Honor,Northern Dancer,Glowing Tribute
Ivory Wand,Sir Ivor,Natashka
La Joconde,Vettori,Lust
Vettori,Machiavellian,Air Distingue
Machiavellian,Mr. Prospector,Coup de Folie
Air Distingue,Sir Ivor,Euryanthe
Lust,Pursuit of Love,Pato
Pursuit of Love,グルームダンサー,Dance Quest
Pato,High Top,Patosky
