名前,父,母
シンボリルドルフ,パーソロン,スイートルナ
パーソロン,Milesian,Paleo
Milesian,My Babu,Oatflake
My Babu,Djebel,Perfume
Djebel,Tourbillon,Loika
Perfume,Badruddin,Lavendula
Oatflake,Coup de Lyon,Avena
Coup de Lyon,Winalot,Sundry
Avena,Blandford,Athasi
Paleo,Pharis,Calonice
Pharis,Pharos,Carissima
Pharos,Phalaris,Scapa Flow
Carissima,Clarissimus,Casquetts
Calonice,Abjer,Coronis
Abjer,Asterus,Zariba
Coronis,Tourbillon,Heldifann
スイートルナ,スピードシンボリ,ダンスタイム
スピードシンボリ,ロイヤルチャレンヂャー,スイートイン
ロイヤルチャレンヂャー,Royal Charger,Skerweather
Royal Charger,Nearco,Sun Princess
Skerweather,Singapore,Nash Light
スイートイン,ライジングライト,フィーナー
ライジングライト,Hyperion,Bread Card
フィーナー,Orthodox,Sempronia
ダンスタイム,Palestine,Samaritaine
Palestine,Fair Trial,Una
Fair Trial,Fairway,Lady Juror
Una,Tetratema,Uganda
Samaritaine,Maravedis,Sarita
Maravedis,Massine,Argentee
Sarita,Biribi,Lady Sarah
