名前,父,母
ジェンティルドンナ,ディープインパクト,ドナブリーニ
ディープインパクト,サンデーサイレンス,ウインドインハーヘア
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ウインドインハーヘア,Alzao,Burghclere
Alzao,Lyphard,Lady Rebecca
Lyphard,Northern Dancer,Goofed
Lady Rebecca,Sir Ivor,Pocahontas
Burghclere,Busted,Highclere
Busted,Crepello,Sans le Sou
Highclere,Queen's Hussar,Highlight
ドナブリーニ,Bertolini,Cal Norma's Lady
Bertolini,Danzig,Aquilegia
Danzig,Northern Dancer,Pas de Nom
Northern Dancer,Nearctic,Natalma
Pas de Nom,Admiral's Voyage,Petitioner
Aquilegia,Alydar,Courtly Dee
Alydar,Raise a Native,Sweet Tooth
Courtly Dee,Never Bend,Tulle
Cal Norma's Lady,リファーズスペシャル,June Darling
リファーズスペシャル,Lyphard,My Bupers
My Bupers,Bupers,Princess Revoked
June Darling,ジュニアス,Beau Darling
ジュニアス,Raja Baba,Solid Thought
Beau Darling,Darling Boy,Fair Astronomer
