名前,父,母
ジャスタウェイ,ハーツクライ,シビル
ハーツクライ,サンデーサイレンス,アイリッシュダンス
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
アイリッシュダンス,トニービン,ビューパーダンス
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Severn Bridge,Hornbeam,Priddy Fair
ビューパーダンス,Lyphard,My Bupers
Lyphard,Northern Dancer,Goofed
My Bupers,Bupers,Princess Revoked
シビル,Wild Again,シャロン
Wild Again,Icecapade,Bushel-n-Peck
Icecapade,Nearctic,Shenanigans
Nearctic,Nearco,Lady Angela
Shenanigans,Native Dancer,Bold Irish
Bushel-n-Peck,Khaled,Dama
Khaled,Hyperion,Eclair
Dama,Dante,Clovelly
シャロン,Mo Exception,Double Wiggle
Mo Exception,Hard Work,With Exception
Hard Work,Golden Ruler,Adds Up
With Exception,Pan Dancer,Sandy's Toughie
Double Wiggle,Sir Wiggle,Blue Double
Sir Wiggle,Sadair,Wiggle
Blue Double,Nodouble,Blue Burst
