名前,父,母
ダイイチルビー,トウショウボーイ,ハギノトップレディ
トウショウボーイ,テスコボーイ,ソシアルバターフライ
テスコボーイ,Princely Gift,Suncourt
Princely Gift,Nasrullah,Blue Gem
Nasrullah,Nearco,Mumtaz Begum
Blue Gem,Blue Peter,Sparkle
Suncourt,Hyperion,Inquisition
Hyperion,Gainsborough,Selene
Inquisition,Dastur,Jury
ソシアルバターフライ,Your Host,Wisteria
Your Host,Alibhai,Boudoir
Alibhai,Hyperion,Teresina
Boudoir,Mahmoud,Kampala
Wisteria,Easton,Blue Cyprus
Easton,Dark Legend,Phaona
Blue Cyprus,Blue Larkspur,Peggy Porter
ハギノトップレディ,サンシー,イツトー
サンシー,Sanctus,Wordys
Sanctus,Fine Top,Sanelta
Fine Top,Fine Art,Toupie
Sanelta,Tourment,Satanella
Wordys,Worden,Princesse d'Ys
Worden,Wild Risk,Sans Tares
Princesse d'Ys,Prince Bio,Lacodis
イツトー,ヴェンチア,ミスマルミチ
ヴェンチア,Relic,Rose O'Lynn
Relic,War Relic,Bridal Colors
Rose O'Lynn,Pherozshah,Rocklyn
ミスマルミチ,ネヴァービート,キユーピツト
ネヴァービート,Never Say Die,Bride Elect
キユーピツト,Nearula,マイリー
