名前,父,母
ダイタクヘリオス,ビゼンニシキ,ネヴアーイチバン
ビゼンニシキ,ダンディルート,ベニバナビゼン
ダンディルート,Luthier,Dentrelic
Luthier,Klairon,Flute Enchantee
Klairon,Clarion,Kalmia
Flute Enchantee,Cranach,Montagnana
Dentrelic,Prudent,Relict
Prudent,My Babu,Providence
Relict,Relic,Fakhry
ベニバナビゼン,ミンスキー,カツハゴロモ
ミンスキー,Northern Dancer,Flaming Page
Northern Dancer,Nearctic,Natalma
Flaming Page,Bull Page,Flaring Top
カツハゴロモ,サウンドトラック,ワイルドライフ
サウンドトラック,Whistler,Bridle Way
ワイルドライフ,Big Game,Clarinda
ネヴアーイチバン,ネヴァービート,ミスナンバイチバン
ネヴァービート,Never Say Die,Bride Elect
Never Say Die,Nasrullah,Singing Grass
Nasrullah,Nearco,Mumtaz Begum
Singing Grass,War Admiral,Boreale
Bride Elect,Big Game,Netherton Maid
Big Game,Bahram,Myrobella
Netherton Maid,Nearco,Phase
ミスナンバイチバン,ハロウエー,スタイルパツチ
ハロウエー,Fairway,Rosy Legend
Fairway,Phalaris,Scapa Flow
Rosy Legend,Dark Legend,Rosy Cheeks
スタイルパツチ,Dogpatch,Style Leader
Dogpatch,Bull Dog,Rose Leaves
Style Leader,Cyclops,Minuet
