名前,父,母
ダンツフレーム,ブライアンズタイム,インターピレネー
ブライアンズタイム,Roberto,Kelley's Day
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Rarelea,Bull Lea,Bleebok
Kelley's Day,Graustark,Golden Trail
Graustark,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Flower Bowl,Alibhai,Flower Bed
Golden Trail,Hasty Road,Sunny Vale
Hasty Road,Roman,Traffic Court
Sunny Vale,Eight Thirty,Sun Mixa
インターピレネー,サンキリコ,モンテマリア
サンキリコ,リィフォー,Nell's Briquette
リィフォー,Lyphard,Klaizia
Lyphard,Northern Dancer,Goofed
Klaizia,Sing Sing,Klainia
Nell's Briquette,Lanyon,Double's Nell
Lanyon,Cornish Prince,Lemon Souffle
Double's Nell,Nodouble,Tota Nell
モンテマリア,ネヴァービート,キネウスマリア
ネヴァービート,Never Say Die,Bride Elect
Never Say Die,Nasrullah,Singing Grass
Bride Elect,Big Game,Netherton Maid
キネウスマリア,ロムルス,マリアドロ
ロムルス,Ribot,Arietta
マリアドロ,Big Game,Golden Marie
