名前,父,母
トウカイテイオー,シンボリルドルフ,トウカイナチュラル
シンボリルドルフ,パーソロン,スイートルナ
パーソロン,Milesian,Paleo
Milesian,My Babu,Oatflake
My Babu,Djebel,Perfume
Oatflake,Coup de Lyon,Avena
Paleo,Pharis,Calonice
Pharis,Pharos,Carissima
Calonice,Abjer,Coronis
スイートルナ,スピードシンボリ,ダンスタイム
スピードシンボリ,ロイヤルチャレンヂャー,スイートイン
ロイヤルチャレンヂャー,Royal Charger,Skerweather
スイートイン,ライジングライト,フィーナー
ダンスタイム,Palestine,Samaritaine
Palestine,Fair Trial,Una
Samaritaine,Maravedis,Sarita
トウカイナチュラル,ナイスダンサー,トウカイミドリ
ナイスダンサー,Northern Dancer,Nice Princess
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Nice Princess,Le Beau Prince,Happy Night
Le Beau Prince,Fontenay,Quillerie
Happy Night,Alizier,Happy Grace
トウカイミドリ,ファバージ,トウカイクイン
ファバージ,Princely Gift,Spring Offensive
Princely Gift,Nasrullah,Blue Gem
Spring Offensive,Legend of France,Batika
トウカイクイン,アトランティス,トツプリユウ
アトランティス,Milesian,Atlantida
トツプリユウ,フアイナルスコア,ブリユーリボン
