名前,父,母
トキノミノル,セフト,第弐タイランツクヰーン
セフト,Tetratema,Voleuse
Tetratema,The Tetrarch,Scotch Gift
The Tetrarch,Roi Herode,Vahren
Roi Herode,Le Samaritain,Roxelane
Vahren,Bona Vista,Castania
Scotch Gift,Symington,Maund
Symington,Ayrshire,Siphonia
Maund,Tarporley,Ianthe
Voleuse,Volta,Sun Worship
Volta,Valens,Agnes Velasquez
Valens,Laveno,Valenza
Agnes Velasquez,Velasquez,Agnes Galliard
Sun Worship,Sundridge,Doctrine
Sundridge,Amphion,Sierra
Doctrine,Ayrshire,Axiom
第弐タイランツクヰーン,Soldennis,タイランツクヰーン
Soldennis,Tredennis,Soligena
Tredennis,Kendal,St. Marguerite
Kendal,Bend Or,Windermere
St. Marguerite,Hermit,Devotion
Soligena,Soliman,St. Guntheirn
Soliman,St. Simon,Alibech
St. Guntheirn,Carbine,St. Bees
タイランツクヰーン,Phalaris,Silver Queen
Phalaris,Polymelus,Bromus
Polymelus,Cyllene,Maid Marian
Bromus,Sainfoin,Cheery
Silver Queen,The Tetrarch,Princess Sterlin
Princess Sterlin,Florizel,Sterling Balm
