名前,父,母
ナリタトップロード,サッカーボーイ,フローラルマジック
サッカーボーイ,ディクタス,ダイナサッシュ
ディクタス,Sanctus,Doronic
Sanctus,Fine Top,Sanelta
Fine Top,Fine Art,Toupie
Sanelta,Tourment,Satanella
Doronic,Worden,Dulzetta
Worden,Wild Risk,Sans Tares
Dulzetta,Bozzetto,Dulcimer
ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Lady Victoria,Victoria Park,Lady Angela
ロイヤルサッシュ,Princely Gift,Sash of Honour
Princely Gift,Nasrullah,Blue Gem
Sash of Honour,Prince Chevalier,Sylko
フローラルマジック,Affirmed,Rare Lady
Affirmed,Exclusive Native,Won't Tell You
Exclusive Native,Raise a Native,Exclusive
Raise a Native,Native Dancer,Raise You
Exclusive,Shut Out,Good Example
Won't Tell You,Crafty Admiral,Scarlet Ribbon
Crafty Admiral,Fighting Fox,Admiral's Lady
Scarlet Ribbon,Volcanic,Native Valor
Rare Lady,Never Bend,Double Agent
Never Bend,Nasrullah,Lalun
Nasrullah,Nearco,Mumtaz Begum
Lalun,Djeddah,Be Faithful
Double Agent,Double Jay,Conniver
Double Jay,Balladier,Broomshot
Conniver,Discovery,The Schemer
