名前,父,母
ノーリーズン,ブライアンズタイム,アンブロジン
ブライアンズタイム,Roberto,Kelley's Day
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Rarelea,Bull Lea,Bleebok
Kelley's Day,Graustark,Golden Trail
Graustark,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Flower Bowl,Alibhai,Flower Bed
Golden Trail,Hasty Road,Sunny Vale
Hasty Road,Roman,Traffic Court
Sunny Vale,Eight Thirty,Sun Mixa
アンブロジン,Mr. Prospector,バラダ
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Native Dancer,Polynesian,Geisha
Raise You,Case Ace,Lady Glory
Gold Digger,Nashua,Sequence
Sequence,Count Fleet,Miss Dogwood
バラダ,Damascus,Courtly Dee
Damascus,Sword Dancer,Kerala
Sword Dancer,Sunglow,Highland Fling
Kerala,My Babu,Blade of Time
Courtly Dee,Never Bend,Tulle
Never Bend,Nasrullah,Lalun
Tulle,War Admiral,Judy-Rae
