名前,父,母
ヒシアケボノ,Woodman,Mysteries
Woodman,Mr. Prospector,プレイメイト
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Native Dancer,Polynesian,Geisha
Raise You,Case Ace,Lady Glory
Gold Digger,Nashua,Sequence
Nashua,Nasrullah,Segula
Sequence,Count Fleet,Miss Dogwood
プレイメイト,Buckpasser,Intriguing
Buckpasser,Tom Fool,Busanda
Tom Fool,Menow,Gaga
Busanda,War Admiral,Businesslike
Intriguing,Swaps,Glamour
Swaps,Khaled,Iron Reward
Glamour,Nasrullah,Striking
Mysteries,Seattle Slew,Phydilla
Seattle Slew,Bold Reasoning,My Charmer
Bold Reasoning,Boldnesian,Reason to Earn
Boldnesian,Bold Ruler,Alanesian
Reason to Earn,Hail to Reason,Sailing Home
My Charmer,Poker,Fair Charmer
Poker,Round Table,Glamour
Fair Charmer,Jet Action,Myrtle Charm
Phydilla,Lyphard,Godzilla
Lyphard,Northern Dancer,Goofed
Northern Dancer,Nearctic,Natalma
Goofed,Court Martial,Barra
Godzilla,Gyr,Gently
Gyr,Sea-Bird,Feria
Gently,Grey Sovereign,Be Careful
