名前,父,母
ヒシミラクル,サッカーボーイ,シュンサクヨシコ
サッカーボーイ,ディクタス,ダイナサッシュ
ディクタス,Sanctus,Doronic
Sanctus,Fine Top,Sanelta
Fine Top,Fine Art,Toupie
Sanelta,Tourment,Satanella
Doronic,Worden,Dulzetta
Worden,Wild Risk,Sans Tares
Dulzetta,Bozzetto,Dulcimer
ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Lady Victoria,Victoria Park,Lady Angela
ロイヤルサッシュ,Princely Gift,Sash of Honour
Princely Gift,Nasrullah,Blue Gem
Sash of Honour,Prince Chevalier,Sylko
シュンサクヨシコ,シェイディハイツ,シュンサクレディ
シェイディハイツ,Shirley Heights,Vaguely
Shirley Heights,Mill Reef,Hardiemma
Mill Reef,Never Bend,Milan Mill
Hardiemma,ハーディカヌート,Grand Cross
Vaguely,Bold Lad,Vaguely Mine
Bold Lad,Bold Ruler,Barn Pride
Vaguely Mine,Silly Season,Tantalizer
シュンサクレディ,ラナーク,ムーンフィニックス
ラナーク,Grey Sovereign,Vermilion O'Toole
Grey Sovereign,Nasrullah,Kong
Vermilion O'Toole,The Phoenix,Gloriana
ムーンフィニックス,フィダルゴ,ミチアサ
フィダルゴ,Arctic Star,Miss France
ミチアサ,ヒンドスタン,プレイガイドクイン
