名前,父,母
ビコーペガサス,Danzig,Condessa
Danzig,Northern Dancer,Pas de Nom
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Nearco,Pharos,Nogara
Lady Angela,Hyperion,Sister Sarah
Natalma,Native Dancer,Almahmoud
Native Dancer,Polynesian,Geisha
Almahmoud,Mahmoud,Arbitrator
Pas de Nom,Admiral's Voyage,Petitioner
Admiral's Voyage,Crafty Admiral,Olympia Lou
Crafty Admiral,Fighting Fox,Admiral's Lady
Olympia Lou,Olympia,Louisiana Lou
Petitioner,Petition,Steady Aim
Petition,Fair Trial,Art Paper
Steady Aim,Felstead,Quick Arrow
Condessa,Condorcet,Varinessa
Condorcet,Luthier,Pan American
Luthier,Klairon,Flute Enchantee
Klairon,Clarion,Kalmia
Flute Enchantee,Cranach,Montagnana
Pan American,Pan,Visibility Good
Pan,Atys,Pretty Girl
Visibility Good,Chamossaire,Fragrant View
Varinessa,Varano,Silken Princess
Varano,Darius,Varna
Darius,Dante,Yasna
Varna,Bey,Vampa
Silken Princess,Arctic Prince,Silken Slipper
Arctic Prince,Prince Chevalier,Arctic Sun
Silken Slipper,Bois Roussel,Carpet Slipper
