名前,父,母
フォーエバーヤング,リアルスティール,フォエヴァーダーリング
リアルスティール,ディープインパクト,ラヴズオンリーミー
ディープインパクト,サンデーサイレンス,ウインドインハーヘア
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Wishing Well,Understanding,Mountain Flower
ウインドインハーヘア,Alzao,Burghclere
Alzao,Lyphard,Lady Rebecca
Burghclere,Busted,Highclere
ラヴズオンリーミー,Storm Cat,Monevassia
Storm Cat,Storm Bird,Terlingua
Storm Bird,Northern Dancer,South Ocean
Terlingua,Secretariat,Crimson Saint
Monevassia,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Miesque,Nureyev,Pasadoble
フォエヴァーダーリング,Congrats,Darling My Darling
Congrats,A.P. Indy,Praise
A.P. Indy,Seattle Slew,Weekend Surprise
Seattle Slew,Bold Reasoning,My Charmer
Weekend Surprise,Secretariat,Lassie Dear
Praise,Mr. Prospector,Wild Applause
Wild Applause,Northern Dancer,Glowing Tribute
Darling My Darling,Deputy Minister,ローミンレイチェル
Deputy Minister,Vice Regent,Mint Copy
Vice Regent,Northern Dancer,Victoria Regina
Mint Copy,Bunty's Flight,Shakney
ローミンレイチェル,マイニング,One Smart Lady
マイニング,Mr. Prospector,I Pass
One Smart Lady,Clever Trick,Pia's Lady
