名前,父,母
フジキセキ,サンデーサイレンス,ミルレーサー
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
ミルレーサー,Le Fabuleux,Marston's Mill
Le Fabuleux,Wild Risk,Anguar
Wild Risk,Rialto,Wild Violet
Rialto,Rabelais,La Grelee
Wild Violet,Blandford,Wood Violet
Anguar,Verso,La Rochelle
Verso,Pinceau,Variete
La Rochelle,Easton,Sans Tares
Marston's Mill,In Reality,Millicent
In Reality,Intentionally,My Dear Girl
Intentionally,Intent,My Recipe
My Dear Girl,Rough'n Tumble,Iltis
Millicent,Cornish Prince,Milan Mill
Cornish Prince,Bold Ruler,Teleran
Milan Mill,Princequillo,Virginia Water
