名前,父,母
ブエナビスタ,スペシャルウィーク,ビワハイジ
スペシャルウィーク,サンデーサイレンス,キャンペンガール
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
キャンペンガール,マルゼンスキー,レディーシラオキ
マルゼンスキー,Nijinsky,シル
Nijinsky,Northern Dancer,Flaming Page
シル,Buckpasser,Quill
レディーシラオキ,セントクレスピン,ミスアシヤガワ
セントクレスピン,Aureole,Neocracy
ミスアシヤガワ,ヒンドスタン,シラオキ
ビワハイジ,Caerleon,アグサン
Caerleon,Nijinsky,Foreseer
Northern Dancer,Nearctic,Natalma
Flaming Page,Bull Page,Flaring Top
Foreseer,Round Table,Regal Gleam
Round Table,Princequillo,Knights Daughter
Regal Gleam,Hail to Reason,Miz Carol
アグサン,Lord Gayle,Santa Luciana
Lord Gayle,Sir Gaylord,Sticky Case
Sir Gaylord,Turn-to,Somethingroyal
Sticky Case,Court Martial,Run Honey
Santa Luciana,Luciano,Suleika
Luciano,Henry the Seventh,Light Arctic
Suleika,Ticino,Schwarzblaurot
