名前,父,母
ホッコータルマエ,キングカメハメハ,マダムチェロキー
キングカメハメハ,Kingmambo,マンファス
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
Miesque,Nureyev,Pasadoble
Nureyev,Northern Dancer,Special
Pasadoble,Prove Out,Santa Quilla
マンファス,ラストタイクーン,Pilot Bird
ラストタイクーン,トライマイベスト,Mill Princess
トライマイベスト,Northern Dancer,Sex Appeal
Mill Princess,Mill Reef,Irish Lass
Pilot Bird,Blakeney,The Dancer
Blakeney,Hethersett,Windmill Girl
The Dancer,Green Dancer,Khazaeen
マダムチェロキー,Cherokee Run,アンフォイルド
Cherokee Run,Runaway Groom,Cherokee Dame
Runaway Groom,Blushing Groom,Yonnie Girl
Blushing Groom,Red God,Runaway Bride
Yonnie Girl,Call the Witness,Po'chile
Cherokee Dame,Silver Saber,Dame Francesca
Silver Saber,Drone,Happy Flirt
Dame Francesca,Francis S.,Maid to Rule
アンフォイルド,Unbridled,Bold Foil
Unbridled,Fappiano,Gana Facil
Fappiano,Mr. Prospector,Killaloe
Gana Facil,Le Fabuleux,Charedi
Bold Foil,Bold Forbes,Perfect Foil
Bold Forbes,Irish Castle,Comely Nell
Perfect Foil,Sword Dancer,Flight Bird
