名前,父,母
マヤノトップガン,ブライアンズタイム,アルプミープリーズ
ブライアンズタイム,Roberto,Kelley's Day
Roberto,Hail to Reason,Bramalea
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Bramalea,Nashua,Rarelea
Nashua,Nasrullah,Segula
Rarelea,Bull Lea,Bleebok
Kelley's Day,Graustark,Golden Trail
Graustark,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Flower Bowl,Alibhai,Flower Bed
Golden Trail,Hasty Road,Sunny Vale
Hasty Road,Roman,Traffic Court
Sunny Vale,Eight Thirty,Sun Mixa
アルプミープリーズ,Blushing Groom,Swiss
Blushing Groom,Red God,Runaway Bride
Red God,Nasrullah,Spring Run
Nasrullah,Nearco,Mumtaz Begum
Spring Run,Menow,Boola Brook
Runaway Bride,Wild Risk,Aimee
Wild Risk,Rialto,Wild Violet
Aimee,Tudor Minstrel,Emali
Swiss,Vaguely Noble,Gala Host
Vaguely Noble,ヴィエナ,Noble Lassie
ヴィエナ,Aureole,Turkish Blood
Noble Lassie,Nearco,Belle Sauvage
Gala Host,My Host,Huspah
My Host,Alibhai,Boudoir
Huspah,Shut Out,Risolater
