名前,父,母
マルシュロレーヌ,オルフェーヴル,ヴィートマルシェ
オルフェーヴル,ステイゴールド,オリエンタルアート
ステイゴールド,サンデーサイレンス,ゴールデンサッシュ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Wishing Well,Understanding,Mountain Flower
ゴールデンサッシュ,ディクタス,ダイナサッシュ
ディクタス,Sanctus,Doronic
ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ
オリエンタルアート,メジロマックイーン,エレクトロアート
メジロマックイーン,メジロティターン,メジロオーロラ
メジロティターン,メジロアサマ,シエリル
メジロオーロラ,リマンド,メジロアイリス
エレクトロアート,ノーザンテースト,グランマスティーヴンス
ノーザンテースト,Northern Dancer,Lady Victoria
グランマスティーヴンス,Lt. Stevens,Dhow
ヴィートマルシェ,フレンチデピュティ,キョウエイマーチ
フレンチデピュティ,Deputy Minister,Mitterand
Deputy Minister,Vice Regent,Mint Copy
Vice Regent,Northern Dancer,Victoria Regina
Mint Copy,Bunty's Flight,Shakney
Mitterand,Hold Your Peace,Laredo Lass
Hold Your Peace,Speak John,Blue Moon
Laredo Lass,Bold Ruler,Fortunate Isle
キョウエイマーチ,ダンシングブレーヴ,インターシャルマン
ダンシングブレーヴ,Lyphard,Navajo Princess
Lyphard,Northern Dancer,Goofed
Navajo Princess,Drone,Olmec
インターシャルマン,ブレイヴェストローマン,トキノシュリリー
ブレイヴェストローマン,Never Bend,Roman Song
トキノシュリリー,スティンティノ,トミニシキ
