名前,父,母
メジロパーマー,メジロイーグル,メジロファンタジー
メジロイーグル,メジロサンマン,アマゾンウォリアー
メジロサンマン,Charlottesville,パラデイシア
Charlottesville,Prince Chevalier,Noorani
Prince Chevalier,Prince Rose,Chevalerie
Noorani,Nearco,Empire Glory
パラデイシア,Aureole,Chenille
Aureole,Hyperion,Angelola
Chenille,King Salmon,Sweet Aloe
アマゾンウォリアー,Khaled,War Betsy
Khaled,Hyperion,Eclair
Hyperion,Gainsborough,Selene
Eclair,Ethnarch,Black Ray
War Betsy,War Relic,Betsy Ross
War Relic,Man o'War,Friar's Carse
Betsy Ross,Mahmoud,Celerina
メジロファンタジー,ゲイメセン,プリンセスリファード
ゲイメセン,Vaguely Noble,Gay Missile
Vaguely Noble,ヴィエナ,Noble Lassie
ヴィエナ,Aureole,Turkish Blood
Noble Lassie,Nearco,Belle Sauvage
Gay Missile,Sir Gaylord,Missy Baba
Sir Gaylord,Turn-to,Somethingroyal
Missy Baba,My Babu,Uvira
プリンセスリファード,Lyphard,ノーラック
Lyphard,Northern Dancer,Goofed
Northern Dancer,Nearctic,Natalma
Goofed,Court Martial,Barra
ノーラック,Lucky Debonair,No Teasing
Lucky Debonair,Vertex,Fresh as Fresh
No Teasing,Palestinian,No Fiddling
