名前,父,母
メジロブライト,メジロライアン,レールデュタン
メジロライアン,アンバーシャダイ,メジロチェイサー
アンバーシャダイ,ノーザンテースト,クリアアンバー
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Lady Victoria,Victoria Park,Lady Angela
クリアアンバー,Ambiopoise,One Clear Call
Ambiopoise,Ambiorix,Bull Poise
One Clear Call,Gallant Man,Europa
メジロチェイサー,メジロサンマン,シエリル
メジロサンマン,Charlottesville,パラデイシア
Charlottesville,Prince Chevalier,Noorani
パラデイシア,Aureole,Chenille
シエリル,スノッブ,Chanel
スノッブ,Mourne,Senones
Chanel,Pan,Barley Corn
レールデュタン,マルゼンスキー,ケイツナミ
マルゼンスキー,Nijinsky,シル
Nijinsky,Northern Dancer,Flaming Page
Flaming Page,Bull Page,Flaring Top
シル,Buckpasser,Quill
Buckpasser,Tom Fool,Busanda
Quill,Princequillo,Quick Touch
ケイツナミ,ラディガ,ハイビスカス
ラディガ,Graustark,Celia
Graustark,Ribot,Flower Bowl
Celia,Swaps,Pocahontas
ハイビスカス,アドミラルバード,キクジユヒメ
アドミラルバード,Nearco,Woodlark
キクジユヒメ,トシシロ,マリオン
