名前,父,母
リトルココン,ビッグアーサー,ブレイクダンサー
ビッグアーサー,サクラバクシンオー,シヤボナ
サクラバクシンオー,サクラユタカオー,サクラハゴロモ
サクラユタカオー,テスコボーイ,アンジェリカ
テスコボーイ,Princely Gift,Suncourt
アンジェリカ,ネヴァービート,スターハイネス
サクラハゴロモ,ノーザンテースト,クリアアンバー
ノーザンテースト,Northern Dancer,Lady Victoria
クリアアンバー,Ambiopoise,One Clear Call
シヤボナ,Kingmambo,Relish
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Miesque,Nureyev,Pasadoble
Relish,Sadler's Wells,Reloy
Sadler's Wells,Northern Dancer,Fairy Bridge
Reloy,Liloy,Rescousse
ブレイクダンサー,ファルブラヴ,プリティダンス
ファルブラヴ,Fairy King,Gift of the Night
Fairy King,Northern Dancer,Fairy Bridge
Northern Dancer,Nearctic,Natalma
Fairy Bridge,Bold Reason,Special
Gift of the Night,Slewpy,Little Nana
Slewpy,Seattle Slew,Rare Bouquet
Little Nana,Lithiot,Nenana Road
プリティダンス,ダンスインザダーク,ミスベルベール
ダンスインザダーク,サンデーサイレンス,ダンシングキイ
サンデーサイレンス,Halo,Wishing Well
ダンシングキイ,Nijinsky,Key Partner
ミスベルベール,Bering,Miss Afrique
Bering,Arctic Tern,Beaune
Miss Afrique,African Song,Dictumisas
