名前,父,母
レッドディザイア,マンハッタンカフェ,グレイトサンライズ
マンハッタンカフェ,サンデーサイレンス,サトルチェンジ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
サトルチェンジ,Law Society,Santa Luciana
Law Society,Alleged,Bold Bikini
Alleged,Hoist the Flag,Princess Pout
Bold Bikini,Boldnesian,Ran-Tan
Santa Luciana,Luciano,Suleika
Luciano,Henry the Seventh,Light Arctic
Suleika,Ticino,Schwarzblaurot
グレイトサンライズ,Caerleon,グレースアンドグローリー
Caerleon,Nijinsky,Foreseer
Nijinsky,Northern Dancer,Flaming Page
Northern Dancer,Nearctic,Natalma
Flaming Page,Bull Page,Flaring Top
Foreseer,Round Table,Regal Gleam
Round Table,Princequillo,Knights Daughter
Regal Gleam,Hail to Reason,Miz Carol
グレースアンドグローリー,Sadler's Wells,Grace Note
Sadler's Wells,Northern Dancer,Fairy Bridge
Fairy Bridge,Bold Reason,Special
Grace Note,Top Ville,Val de Grace
Top Ville,High Top,Sega Ville
Val de Grace,Val de Loir,Pearly Queen
