名前,父,母
レディーシラオキ,セントクレスピン,ミスアシヤガワ
セントクレスピン,Aureole,Neocracy
Aureole,Hyperion,Angelola
Hyperion,Gainsborough,Selene
Gainsborough,Bayardo,Rosedrop
Selene,Chaucer,Serenissima
Angelola,Donatello,Feola
Donatello,Blenheim,Delleana
Feola,Friar Marcus,Aloe
Neocracy,Nearco,Harina
Nearco,Pharos,Nogara
Pharos,Phalaris,Scapa Flow
Nogara,Havresac,Catnip
Harina,Blandford,Athasi
Blandford,Swynford,Blanche
Athasi,Farasi,Athgreany
ミスアシヤガワ,ヒンドスタン,シラオキ
ヒンドスタン,Bois Roussel,Sonibai
Bois Roussel,Vatout,Plucky Liege
Vatout,Prince Chimay,Vashti
Plucky Liege,Spearmint,Concertina
Sonibai,Solario,Udaipur
Solario,Gainsborough,Sun Worship
Udaipur,Blandford,Uganda
シラオキ,プリメロ,第弐スターカツプ
プリメロ,Blandford,Athasi
第弐スターカツプ,ダイオライト,スターカツプ
ダイオライト,Diophon,Needle Rock
スターカツプ,シアンモア,フロリスト
