名前,父,母
ロイスアンドロイス,トニービン,ザツツマイパル
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Kalamoun,ゼダーン,Khairunissa
ゼダーン,Grey Sovereign,Vareta
Khairunissa,Prince Bio,Palariva
State Pension,オンリーフォアライフ,Lorelei
オンリーフォアライフ,Chanteur,Life Sentence
Lorelei,Prince Chevalier,Rock Goddess
Severn Bridge,Hornbeam,Priddy Fair
Hornbeam,Hyperion,Thicket
Hyperion,Gainsborough,Selene
Thicket,Nasrullah,Thorn Wood
Priddy Fair,Preciptic,Campanette
Preciptic,Precipitation,Artistic
Campanette,Fair Trial,Calluna
ザツツマイパル,Key to the Mint,Beautiful Memory
Key to the Mint,Graustark,Key Bridge
Graustark,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Flower Bowl,Alibhai,Flower Bed
Key Bridge,Princequillo,Blue Banner
Princequillo,Prince Rose,Cosquilla
Blue Banner,War Admiral,Risque Blue
Beautiful Memory,Boldnesian,My Dear Girl
Boldnesian,Bold Ruler,Alanesian
Bold Ruler,Nasrullah,Miss Disco
Alanesian,Polynesian,Alablue
My Dear Girl,Rough'n Tumble,Iltis
Rough'n Tumble,Free For All,Roused
Iltis,War Relic,We Hail
