名前,父,母
ロゴタイプ,ローエングリン,ステレオタイプ
ローエングリン,Singspiel,カーリング
Singspiel,In the Wings,Glorious Song
In the Wings,Sadler's Wells,High Hawk
Sadler's Wells,Northern Dancer,Fairy Bridge
High Hawk,Shirley Heights,Sunbittern
Glorious Song,Halo,Ballade
Halo,Hail to Reason,Cosmah
Ballade,Herbager,Miss Swapsco
カーリング,Garde Royale,Corraleja
Garde Royale,Mill Reef,Royal Way
Mill Reef,Never Bend,Milan Mill
Royal Way,Sicambre,Right Away
Corraleja,Carvin,Darling Dale
Carvin,マリーノ,Coraline
Darling Dale,Tyrant,Treat
ステレオタイプ,サンデーサイレンス,スターバレリーナ
サンデーサイレンス,Halo,Wishing Well
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
スターバレリーナ,Risen Star,ベリアーニ
Risen Star,Secretariat,Ribbon
Secretariat,Bold Ruler,Somethingroyal
Ribbon,His Majesty,Break Through
ベリアーニ,Nureyev,Eleven Pleasures
Nureyev,Northern Dancer,Special
Eleven Pleasures,What a Pleasure,Eleven Keys
