名前,父,母
ロードカナロア,キングカメハメハ,レディブラッサム
キングカメハメハ,Kingmambo,マンファス
Kingmambo,Mr. Prospector,Miesque
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
Miesque,Nureyev,Pasadoble
Nureyev,Northern Dancer,Special
Pasadoble,Prove Out,Santa Quilla
マンファス,ラストタイクーン,Pilot Bird
ラストタイクーン,トライマイベスト,Mill Princess
トライマイベスト,Northern Dancer,Sex Appeal
Mill Princess,Mill Reef,Irish Lass
Pilot Bird,Blakeney,The Dancer
Blakeney,Hethersett,Windmill Girl
The Dancer,Green Dancer,Khazaeen
レディブラッサム,Storm Cat,サラトガデュー
Storm Cat,Storm Bird,Terlingua
Storm Bird,Northern Dancer,South Ocean
Northern Dancer,Nearctic,Natalma
South Ocean,New Providence,Shining Sun
Terlingua,Secretariat,Crimson Saint
Secretariat,Bold Ruler,Somethingroyal
Crimson Saint,Crimson Satan,Bolero Rose
サラトガデュー,Cormorant,Super Luna
Cormorant,His Majesty,Song Sparrow
His Majesty,Ribot,Flower Bowl
Song Sparrow,Tudor Minstrel,Swoon's Tune
Super Luna,In Reality,Alada
In Reality,Intentionally,My Dear Girl
Alada,Riva Ridge,Syrian Sea
