名前,父,母
ヴィクトワールピサ,ネオユニヴァース,ホワイトウォーターアフェア
ネオユニヴァース,サンデーサイレンス,ポインテッドパス
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ポインテッドパス,Kris,Silken Way
Kris,Sharpen Up,Doubly Sure
Sharpen Up,エタン,Rocchetta
Doubly Sure,Reliance,Soft Angels
Silken Way,Shantung,Boulevard
Shantung,Sicambre,Barley Corn
Boulevard,Pall Mall,Costa Sola
ホワイトウォーターアフェア,Machiavellian,Much Too Risky
Machiavellian,Mr. Prospector,Coup de Folie
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Gold Digger,Nashua,Sequence
Coup de Folie,Halo,Raise the Standard
Raise the Standard,Hoist the Flag,Natalma
Much Too Risky,Bustino,Short Rations
Bustino,Busted,Ship Yard
Busted,Crepello,Sans le Sou
Ship Yard,Doutelle,Paving Stone
Short Rations,Lorenzaccio,Short Commons
Lorenzaccio,Klairon,Phoenissa
Short Commons,Hard Tack,Padus
