名前,父,母
アグネスタキオン,サンデーサイレンス,アグネスフローラ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
アグネスフローラ,ロイヤルスキー,アグネスレディー
ロイヤルスキー,Raja Baba,Coz o'Nijinsky
Raja Baba,Bold Ruler,Missy Baba
Bold Ruler,Nasrullah,Miss Disco
Missy Baba,My Babu,Uvira
Coz o'Nijinsky,Involvement,Gleam
Involvement,Intent,Lea Lane
Gleam,Tournoi,Flaring Top
アグネスレディー,リマンド,イコマエイカン
リマンド,Alcide,Admonish
Alcide,Alycidon,Chenille
Admonish,Palestine,Warning
イコマエイカン,Sallymount,ヘザーランズ
Sallymount,Tudor Minstrel,Queen of Shiraz
ヘザーランズ,Tenerani,Dark Brocade
