名前,父,母
エアシャカール,サンデーサイレンス,アイドリームドアドリーム
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
アイドリームドアドリーム,Well Decorated,Hidden Trail
Well Decorated,Raja Baba,Paris Breeze
Raja Baba,Bold Ruler,Missy Baba
Bold Ruler,Nasrullah,Miss Disco
Missy Baba,My Babu,Uvira
Paris Breeze,Majestic Prince,Tudor Jet
Majestic Prince,Raise a Native,Gay Hostess
Tudor Jet,Tudor Minstrel,Precious Lady
Hidden Trail,Gleaming,Tobacco Trail
Gleaming,Herbager,A Gleam
Herbager,Vandale,Flagette
A Gleam,Blenheim,Twilight Tear
Tobacco Trail,Ribot,On the Trail
Ribot,Tenerani,Romanella
On the Trail,Olympia,Golden Trail
