名前,父,母
カレンブーケドール,ディープインパクト,ソラリア
ディープインパクト,サンデーサイレンス,ウインドインハーヘア
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ウインドインハーヘア,Alzao,Burghclere
Alzao,Lyphard,Lady Rebecca
Lyphard,Northern Dancer,Goofed
Lady Rebecca,Sir Ivor,Pocahontas
Burghclere,Busted,Highclere
Busted,Crepello,Sans le Sou
Highclere,Queen's Hussar,Highlight
ソラリア,Scat Daddy,So Linda
Scat Daddy,ヨハネスブルグ,Love Style
ヨハネスブルグ,ヘネシー,Myth
ヘネシー,Storm Cat,Island Kitty
Myth,オジジアン,Yarn
Love Style,Mr. Prospector,Likeable Style
Mr. Prospector,Raise a Native,Gold Digger
Likeable Style,Nijinsky,Personable Lady
So Linda,Seeker's Reward,So Posh
Seeker's Reward,Gone West,Willamar
Gone West,Mr. Prospector,Secrettame
Willamar,Northjet,Miss Mauna Lisa
So Posh,Liloy,Osadia
Liloy,Bold Bidder,Locust Time
Osadia,Make Tracks,Orizaba
