名前,父,母
キングヘイロー,ダンシングブレーヴ,グッバイヘイロー
ダンシングブレーヴ,Lyphard,Navajo Princess
Lyphard,Northern Dancer,Goofed
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Goofed,Court Martial,Barra
Court Martial,Fair Trial,Instantaneous
Barra,Formor,La Favorite
Navajo Princess,Drone,Olmec
Drone,Sir Gaylord,Cap and Bells
Sir Gaylord,Turn-to,Somethingroyal
Cap and Bells,Tom Fool,Ghazni
Olmec,Pago Pago,Chocolate Beau
Pago Pago,Matrice,Pompilia
Chocolate Beau,Beau Max,Otra
グッバイヘイロー,Halo,Pound Foolish
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Pound Foolish,Sir Ivor,Squander
Sir Ivor,Sir Gaylord,Attica
Attica,Mr. Trouble,Athenia
Squander,Buckpasser,Discipline
Buckpasser,Tom Fool,Busanda
Discipline,Princequillo,Lady Be Good
