名前,父,母
グランアレグリア,ディープインパクト,タピッツフライ
ディープインパクト,サンデーサイレンス,ウインドインハーヘア
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ウインドインハーヘア,Alzao,Burghclere
Alzao,Lyphard,Lady Rebecca
Lyphard,Northern Dancer,Goofed
Lady Rebecca,Sir Ivor,Pocahontas
Burghclere,Busted,Highclere
Busted,Crepello,Sans le Sou
Highclere,Queen's Hussar,Highlight
タピッツフライ,Tapit,Flying Marlin
Tapit,Pulpit,Tap Your Heels
Pulpit,A.P. Indy,Preach
A.P. Indy,Seattle Slew,Weekend Surprise
Preach,Mr. Prospector,Narrate
Tap Your Heels,Unbridled,Ruby Slippers
Unbridled,Fappiano,Gana Facil
Ruby Slippers,Nijinsky,Moon Glitter
Flying Marlin,Marlin,Morning Dove
Marlin,Sword Dance,Syrian Summer
Sword Dance,Nijinsky,Rosa Mundi
Syrian Summer,Damascus,Special Warmth
Morning Dove,Fortunate Prospect,Pink Dove
Fortunate Prospect,Northern Prospect,Fortunate Bid
Pink Dove,Argument,Perfect Pigeon
