名前,父,母
サトノダイヤモンド,ディープインパクト,マルペンサ
ディープインパクト,サンデーサイレンス,ウインドインハーヘア
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ウインドインハーヘア,Alzao,Burghclere
Alzao,Lyphard,Lady Rebecca
Lyphard,Northern Dancer,Goofed
Lady Rebecca,Sir Ivor,Pocahontas
Burghclere,Busted,Highclere
Busted,Crepello,Sans le Sou
Highclere,Queen's Hussar,Highlight
マルペンサ,Orpen,Marsella
Orpen,Lure,Bonita Francita
Lure,Danzig,Endear
Danzig,Northern Dancer,Pas de Nom
Endear,Alydar,Chappaquiddick
Bonita Francita,Devil's Bag,Raise the Standard
Devil's Bag,Halo,Ballade
Raise the Standard,Hoist the Flag,Natalma
Marsella,サザンヘイロー,Riviere
サザンヘイロー,Halo,Northern Sea
Northern Sea,Northern Dancer,Sea Saga
Riviere,Logical,Talonada
Logical,Buckpasser,Smart Deb
Talonada,Tatan,Ravana
