名前,父,母
シンコウウインディ,デュラブ,ローズコマンダー
デュラブ,Topsider,Passerine
Topsider,Northern Dancer,Drumtop
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Drumtop,Round Table,Zonah
Round Table,Princequillo,Knights Daughter
Zonah,Nasrullah,Gambetta
Passerine,Dr. Fager,Pashamin
Dr. Fager,Rough'n Tumble,Aspidistra
Rough'n Tumble,Free For All,Roused
Aspidistra,Better Self,Tilly Rose
Pashamin,My Babu,Tir an Oir
My Babu,Djebel,Perfume
Tir an Oir,Tehran,Golden Penny
ローズコマンダー,ダストコマンダー,ハマヒリュウ
ダストコマンダー,Bold Commander,Dust Storm
Bold Commander,Bold Ruler,High Voltage
Bold Ruler,Nasrullah,Miss Disco
High Voltage,Ambiorix,Dynamo
Dust Storm,Windy City,Challure
Windy City,Wyndham,Staunton
Challure,Challedon,Captivation
ハマヒリュウ,パーソロン,デイックミドリ
パーソロン,Milesian,Paleo
Milesian,My Babu,Oatflake
Paleo,Pharis,Calonice
デイックミドリ,トサミドリ,タカフレーム
トサミドリ,プリメロ,フリツパンシー
タカフレーム,ライジングフレーム,ノマデイック
