名前,父,母
シーキングザパール,Seeking the Gold,ページプルーフ
Seeking the Gold,Mr. Prospector,Con Game
Mr. Prospector,Raise a Native,Gold Digger
Raise a Native,Native Dancer,Raise You
Native Dancer,Polynesian,Geisha
Raise You,Case Ace,Lady Glory
Gold Digger,Nashua,Sequence
Nashua,Nasrullah,Segula
Sequence,Count Fleet,Miss Dogwood
Con Game,Buckpasser,Broadway
Buckpasser,Tom Fool,Busanda
Tom Fool,Menow,Gaga
Busanda,War Admiral,Businesslike
Broadway,Hasty Road,Flitabout
Hasty Road,Roman,Traffic Court
Flitabout,Challedon,Bird Flower
ページプルーフ,Seattle Slew,バーブスボールド
Seattle Slew,Bold Reasoning,My Charmer
Bold Reasoning,Boldnesian,Reason to Earn
Boldnesian,Bold Ruler,Alanesian
Reason to Earn,Hail to Reason,Sailing Home
My Charmer,Poker,Fair Charmer
Poker,Round Table,Glamour
Fair Charmer,Jet Action,Myrtle Charm
バーブスボールド,Bold Forbes,Goofed
Bold Forbes,Irish Castle,Comely Nell
Irish Castle,Bold Ruler,Castle Forbes
Comely Nell,Commodore M.,Nellie L.
Goofed,Court Martial,Barra
Court Martial,Fair Trial,Instantaneous
Barra,Formor,La Favorite
