名前,父,母
スマートファルコン,ゴールドアリュール,ケイシュウハーブ
ゴールドアリュール,サンデーサイレンス,ニキーヤ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ニキーヤ,Nureyev,Reluctant Guest
Nureyev,Northern Dancer,Special
Northern Dancer,Nearctic,Natalma
Special,Forli,Thong
Reluctant Guest,Hostage,Vaguely Royal
Hostage,Nijinsky,Entente
Vaguely Royal,Vaguely Noble,Shoshanna
ケイシュウハーブ,ミシシッピアン,キョウエイシラユキ
ミシシッピアン,Vaguely Noble,Gazala
Vaguely Noble,ヴィエナ,Noble Lassie
ヴィエナ,Aureole,Turkish Blood
Noble Lassie,Nearco,Belle Sauvage
Gazala,Dark Star,Belle Angevine
Dark Star,Royal Gem,Isolde
Belle Angevine,L'Amiral,Bella
キョウエイシラユキ,クラウンドプリンス,アリアーン
クラウンドプリンス,Raise a Native,Gay Hostess
Raise a Native,Native Dancer,Raise You
Gay Hostess,Royal Charger,Your Hostess
アリアーン,シルバーシャーク,Nucciolina
シルバーシャーク,Buisson Ardent,Palsaka
Nucciolina,Nuccio,Mah Behar
