名前,父,母
セイウンスカイ,シェリフズスター,シスターミル
シェリフズスター,ポツセ,Castle Moon
ポツセ,Forli,In Hot Pursuit
Forli,Aristophanes,Trevisa
Aristophanes,Hyperion,Commotion
Trevisa,Advocate,Veneta
In Hot Pursuit,Bold Ruler,Lady Be Good
Bold Ruler,Nasrullah,Miss Disco
Lady Be Good,Better Self,Past Eight
Castle Moon,Kalamoun,Fotheringay
Kalamoun,ゼダーン,Khairunissa
ゼダーン,Grey Sovereign,Vareta
Khairunissa,Prince Bio,Palariva
Fotheringay,Right Royal,La Fresnes
Right Royal,Owen Tudor,Bastia
La Fresnes,Court Martial,Pin Stripe
シスターミル,ミルジョージ,スイトアンジュレ
ミルジョージ,Mill Reef,Miss Charisma
Mill Reef,Never Bend,Milan Mill
Never Bend,Nasrullah,Lalun
Milan Mill,Princequillo,Virginia Water
Miss Charisma,Ragusa,マタテイナ
Ragusa,Ribot,Fantan
マタテイナ,Grey Sovereign,Zanzara
スイトアンジュレ,モガミ,アンジュレスイート
モガミ,Lyphard,ノーラック
Lyphard,Northern Dancer,Goofed
ノーラック,Lucky Debonair,No Teasing
アンジュレスイート,カーネルシンボリ,スイートフランス
カーネルシンボリ,パーソロン,ローズライラック
スイートフランス,Exclusive Native,Angel Chile
