名前,父,母
タップダンスシチー,Pleasant Tap,All Dance
Pleasant Tap,Pleasant Colony,Never Knock
Pleasant Colony,His Majesty,Sun Colony
His Majesty,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Flower Bowl,Alibhai,Flower Bed
Sun Colony,Sunrise Flight,Colonia
Sunrise Flight,Double Jay,Misty Morn
Colonia,Cockrullah,Nalga
Never Knock,Stage Door Johnny,Never Hula
Stage Door Johnny,Prince John,Peroxide Blonde
Prince John,Princequillo,Not Afraid
Peroxide Blonde,Ballymoss,Folie Douce
Never Hula,Never Bend,Hula Hula
Never Bend,Nasrullah,Lalun
Hula Hula,Polynesian,Black Helen
All Dance,Northern Dancer,All Rainbows
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Nearco,Pharos,Nogara
Lady Angela,Hyperion,Sister Sarah
Natalma,Native Dancer,Almahmoud
Native Dancer,Polynesian,Geisha
Almahmoud,Mahmoud,Arbitrator
All Rainbows,Bold Hour,Miss Carmie
Bold Hour,Bold Ruler,Seven Thirty
Bold Ruler,Nasrullah,Miss Disco
Seven Thirty,Mr. Music,Time to Dine
Miss Carmie,T.V. Lark,Twice Over
T.V. Lark,Indian Hemp,Miss Larksfly
Twice Over,Ponder,Twosy
