名前,父,母
タマモクロス,シービークロス,グリーンシャトー
シービークロス,フォルティノ,ズイシヨウ
フォルティノ,Grey Sovereign,Ranavalo
Grey Sovereign,Nasrullah,Kong
Nasrullah,Nearco,Mumtaz Begum
Kong,Baytown,Clang
Ranavalo,Relic,Navarra
Relic,War Relic,Bridal Colors
Navarra,Orsenigo,Nervesa
ズイシヨウ,パーソロン,キムラス
パーソロン,Milesian,Paleo
Milesian,My Babu,Oatflake
Paleo,Pharis,Calonice
キムラス,タークスリライアンス,ローヤルデイール
タークスリライアンス,Turkhan,Some Anxiety
ローヤルデイール,His Highness,Brave Deal
グリーンシャトー,シャトーゲイ,クインビー
シャトーゲイ,Swaps,Banquet Bell
Swaps,Khaled,Iron Reward
Khaled,Hyperion,Eclair
Iron Reward,Beau Pere,Iron Maiden
Banquet Bell,Polynesian,Dinner Horn
Polynesian,Unbreakable,Black Polly
Dinner Horn,Pot au Feu,Tophorn
クインビー,テューダーペリオッド,コーサ
テューダーペリオッド,Owen Tudor,Cornice
Owen Tudor,Hyperion,Mary Tudor
Cornice,Epigram,Cordon
コーサ,ヒンドスタン,ミスチヤネル
ヒンドスタン,Bois Roussel,Sonibai
ミスチヤネル,Channel Swell,Constant Chatter
