名前,父,母
ツインターボ,ライラリッジ,レーシングジイーン
ライラリッジ,Lyphard,Riverside
Lyphard,Northern Dancer,Goofed
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Goofed,Court Martial,Barra
Court Martial,Fair Trial,Instantaneous
Barra,Formor,La Favorite
Riverside,Sheshoon,Renounce
Sheshoon,Precipitation,Noorani
Precipitation,Hurry On,Double Life
Noorani,Nearco,Empire Glory
Renounce,Big Game,Refreshed
Big Game,Bahram,Myrobella
Refreshed,Hyperion,Monsoon
レーシングジイーン,サンシー,マウタジョウオー
サンシー,Sanctus,Wordys
Sanctus,Fine Top,Sanelta
Fine Top,Fine Art,Toupie
Sanelta,Tourment,Satanella
Wordys,Worden,Princesse d'Ys
Worden,Wild Risk,Sans Tares
Princesse d'Ys,Prince Bio,Lacodis
マウタジョウオー,ファバージ,ハードホープ
ファバージ,Princely Gift,Spring Offensive
Princely Gift,Nasrullah,Blue Gem
Spring Offensive,Legend of France,Batika
ハードホープ,ダイハード,メジロホープ
ダイハード,Never Say Die,Mixed Blessing
メジロホープ,ゲイタイム,キヨハ
