名前,父,母
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Kalamoun,ゼダーン,Khairunissa
ゼダーン,Grey Sovereign,Vareta
Grey Sovereign,Nasrullah,Kong
Vareta,Vilmorin,Veronique
Khairunissa,Prince Bio,Palariva
Prince Bio,Prince Rose,Biologie
Palariva,Palestine,Rivaz
State Pension,オンリーフォアライフ,Lorelei
オンリーフォアライフ,Chanteur,Life Sentence
Chanteur,Chateau Bouscaut,La Diva
Life Sentence,Court Martial,Borobella
Lorelei,Prince Chevalier,Rock Goddess
Prince Chevalier,Prince Rose,Chevalerie
Rock Goddess,Hyperion,Rockfoil
Severn Bridge,Hornbeam,Priddy Fair
Hornbeam,Hyperion,Thicket
Hyperion,Gainsborough,Selene
Gainsborough,Bayardo,Rosedrop
Selene,Chaucer,Serenissima
Thicket,Nasrullah,Thorn Wood
Nasrullah,Nearco,Mumtaz Begum
Thorn Wood,Bois Roussel,Point Duty
Priddy Fair,Preciptic,Campanette
Preciptic,Precipitation,Artistic
Precipitation,Hurry On,Double Life
Artistic,Gainsborough,Ishtar
Campanette,Fair Trial,Calluna
Fair Trial,Fairway,Lady Juror
Calluna,Hyperion,Campanula
