名前,父,母
ナカヤマフェスタ,ステイゴールド,ディアウィンク
ステイゴールド,サンデーサイレンス,ゴールデンサッシュ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ゴールデンサッシュ,ディクタス,ダイナサッシュ
ディクタス,Sanctus,Doronic
Sanctus,Fine Top,Sanelta
Doronic,Worden,Dulzetta
ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ
ノーザンテースト,Northern Dancer,Lady Victoria
ロイヤルサッシュ,Princely Gift,Sash of Honour
ディアウィンク,タイトスポット,セイレイ
タイトスポット,His Majesty,Premium Win
His Majesty,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Flower Bowl,Alibhai,Flower Bed
Premium Win,Lyphard,Classic Perfection
Lyphard,Northern Dancer,Goofed
Classic Perfection,Never Bend,Mira Femme
セイレイ,デインヒル,センスオブリズム
デインヒル,Danzig,Razyana
Danzig,Northern Dancer,Pas de Nom
Razyana,His Majesty,Spring Adieu
センスオブリズム,Cure the Blues,Sensibility
Cure the Blues,Stop the Music,Quick Cure
Sensibility,Hail to Reason,Pange
