名前,父,母
ニシノフラワー,Majestic Light,デユプリシト
Majestic Light,Majestic Prince,Irradiate
Majestic Prince,Raise a Native,Gay Hostess
Raise a Native,Native Dancer,Raise You
Native Dancer,Polynesian,Geisha
Raise You,Case Ace,Lady Glory
Gay Hostess,Royal Charger,Your Hostess
Royal Charger,Nearco,Sun Princess
Your Hostess,Alibhai,Boudoir
Irradiate,Ribot,High Voltage
Ribot,Tenerani,Romanella
Tenerani,Bellini,Tofanella
Romanella,El Greco,Barbara Burrini
High Voltage,Ambiorix,Dynamo
Ambiorix,Tourbillon,Lavendula
Dynamo,Menow,Bransome
デユプリシト,Danzig,Fabulous Fraud
Danzig,Northern Dancer,Pas de Nom
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Pas de Nom,Admiral's Voyage,Petitioner
Admiral's Voyage,Crafty Admiral,Olympia Lou
Petitioner,Petition,Steady Aim
Fabulous Fraud,Le Fabuleux,The Bride
Le Fabuleux,Wild Risk,Anguar
Wild Risk,Rialto,Wild Violet
Anguar,Verso,La Rochelle
The Bride,Bold Ruler,Somethingroyal
Bold Ruler,Nasrullah,Miss Disco
Somethingroyal,Princequillo,Imperatrice
