名前,父,母
ノースフライト,トニービン,シヤダイフライト
トニービン,カンパラ,Severn Bridge
カンパラ,Kalamoun,State Pension
Kalamoun,ゼダーン,Khairunissa
ゼダーン,Grey Sovereign,Vareta
Khairunissa,Prince Bio,Palariva
State Pension,オンリーフォアライフ,Lorelei
オンリーフォアライフ,Chanteur,Life Sentence
Lorelei,Prince Chevalier,Rock Goddess
Severn Bridge,Hornbeam,Priddy Fair
Hornbeam,Hyperion,Thicket
Hyperion,Gainsborough,Selene
Thicket,Nasrullah,Thorn Wood
Priddy Fair,Preciptic,Campanette
Preciptic,Precipitation,Artistic
Campanette,Fair Trial,Calluna
シヤダイフライト,ヒッティングアウェー,フォーワードフライト
ヒッティングアウェー,Ambiorix,Striking
Ambiorix,Tourbillon,Lavendula
Tourbillon,Ksar,Durban
Lavendula,Pharos,Sweet Lavender
Striking,War Admiral,Baby League
War Admiral,Man o'War,Brushup
Baby League,Bubbling Over,La Troienne
フォーワードフライト,Porterhouse,Bashful Girl
Porterhouse,Endeavour,Red Stamp
Endeavour,British Empire,Himalaya
Red Stamp,Bimelech,Peggy Porter
Bashful Girl,Khaled,But Beautiful
Khaled,Hyperion,Eclair
But Beautiful,Tehran,Joan
