名前,父,母
ハイセイコー,チャイナロック,ハイユウ
チャイナロック,Rockefella,May Wong
Rockefella,Hyperion,Rockfel
Hyperion,Gainsborough,Selene
Gainsborough,Bayardo,Rosedrop
Selene,Chaucer,Serenissima
Rockfel,Felstead,Rockliffe
Felstead,Spion Kop,Felkington
Rockliffe,Santorb,Sweet Rocket
May Wong,Rustom Pasha,Wezzan
Rustom Pasha,Son-in-Law,Cos
Son-in-Law,Dark Ronald,Mother in Law
Cos,Flying Orb,Renaissance
Wezzan,Friar Marcus,Woodsprite
Friar Marcus,Cicero,Prim Nun
Woodsprite,Stornoway,Wood Daisy
ハイユウ,カリム,ダルモーガン
カリム,Nearco,Skylarking
Nearco,Pharos,Nogara
Pharos,Phalaris,Scapa Flow
Nogara,Havresac,Catnip
Skylarking,Mirza,Jennie
Mirza,Blenheim,Mumtaz Mahal
Jennie,Apelle,Lindos Ojos
ダルモーガン,Beau Son,Reticent
Beau Son,Beau Pere,Banita
Beau Pere,Son-in-Law,Cinna
Banita,Dark Legend,Balilla
Reticent,Hua,Timid
Hua,Heroic,Gladioli
Timid,Kildare,Ardesia
