名前,父,母
ビリーヴ,サンデーサイレンス,グレートクリスティーヌ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
グレートクリスティーヌ,Danzig,Great Lady M.
Danzig,Northern Dancer,Pas de Nom
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Pas de Nom,Admiral's Voyage,Petitioner
Admiral's Voyage,Crafty Admiral,Olympia Lou
Petitioner,Petition,Steady Aim
Great Lady M.,Icecapade,Sovereign Lady
Icecapade,Nearctic,Shenanigans
Shenanigans,Native Dancer,Bold Irish
Sovereign Lady,Young Emperor,Sweety Kid
Young Emperor,Grey Sovereign,Young Empress
Sweety Kid,Olympia,Trustworthy
