名前,父,母
ビワハヤヒデ,シャルード,パシフィカス
シャルード,Caro,Angel Island
Caro,フォルティノ,Chambord
フォルティノ,Grey Sovereign,Ranavalo
Grey Sovereign,Nasrullah,Kong
Ranavalo,Relic,Navarra
Chambord,Chamossaire,Life Hill
Chamossaire,Precipitation,Snowberry
Life Hill,Solario,Lady of the Snows
Angel Island,Cougar,Who's to Know
Cougar,Tale of Two Cities,Cindy Lou
Tale of Two Cities,Tehran,Merida
Cindy Lou,Madara,Maria Bonita
Who's to Know,Fleet Nasrullah,Masked Lady
Fleet Nasrullah,Nasrullah,Happy Go Fleet
Masked Lady,Spy Song,Spinosa
パシフィカス,Northern Dancer,Pacific Princess
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Nearco,Pharos,Nogara
Lady Angela,Hyperion,Sister Sarah
Natalma,Native Dancer,Almahmoud
Native Dancer,Polynesian,Geisha
Almahmoud,Mahmoud,Arbitrator
Pacific Princess,Damascus,Fiji
Damascus,Sword Dancer,Kerala
Sword Dancer,Sunglow,Highland Fling
Kerala,My Babu,Blade of Time
Fiji,Acropolis,Rififi
Acropolis,Donatello,Aurora
Rififi,Mossborough,Khanum
