名前,父,母
ファインモーション,デインヒル,Cocotte
デインヒル,Danzig,Razyana
Danzig,Northern Dancer,Pas de Nom
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Pas de Nom,Admiral's Voyage,Petitioner
Admiral's Voyage,Crafty Admiral,Olympia Lou
Petitioner,Petition,Steady Aim
Razyana,His Majesty,Spring Adieu
His Majesty,Ribot,Flower Bowl
Ribot,Tenerani,Romanella
Flower Bowl,Alibhai,Flower Bed
Spring Adieu,Buckpasser,Natalma
Buckpasser,Tom Fool,Busanda
Cocotte,Troy,Gay Milly
Troy,Petingo,La Milo
Petingo,Petition,Alcazar
Petition,Fair Trial,Art Paper
Alcazar,Alycidon,Quarterdeck
La Milo,Hornbeam,Pin Prick
Hornbeam,Hyperion,Thicket
Pin Prick,Pinza,Miss Winston
Gay Milly,Mill Reef,Gaily
Mill Reef,Never Bend,Milan Mill
Never Bend,Nasrullah,Lalun
Milan Mill,Princequillo,Virginia Water
Gaily,Sir Gaylord,Spearfish
Sir Gaylord,Turn-to,Somethingroyal
Spearfish,Fleet Nasrullah,Alabama Gal
