名前,父,母
フェアエールング,ゴールドシップ,マイネポリーヌ
ゴールドシップ,ステイゴールド,ポイントフラッグ
ステイゴールド,サンデーサイレンス,ゴールデンサッシュ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Wishing Well,Understanding,Mountain Flower
ゴールデンサッシュ,ディクタス,ダイナサッシュ
ディクタス,Sanctus,Doronic
ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ
ポイントフラッグ,メジロマックイーン,パストラリズム
メジロマックイーン,メジロティターン,メジロオーロラ
メジロティターン,メジロアサマ,シエリル
メジロオーロラ,リマンド,メジロアイリス
パストラリズム,プルラリズム,トクノエイティー
プルラリズム,The Minstrel,Cambretta
トクノエイティー,トライバルチーフ,アイアンルビー
マイネポリーヌ,スペシャルウィーク,マイネミレー
スペシャルウィーク,サンデーサイレンス,キャンペンガール
キャンペンガール,マルゼンスキー,レディーシラオキ
マルゼンスキー,Nijinsky,シル
レディーシラオキ,セントクレスピン,ミスアシヤガワ
マイネミレー,マルゼンスキー,オカノブルー
Nijinsky,Northern Dancer,Flaming Page
シル,Buckpasser,Quill
オカノブルー,ネプテューヌス,ヒンドバース
ネプテューヌス,Neptune,Bastia
ヒンドバース,ヒンドスタン,サンマリノ
