名前,父,母
フェノーメノ,ステイゴールド,ディラローシェ
ステイゴールド,サンデーサイレンス,ゴールデンサッシュ
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Cosmah,Cosmic Bomb,Almahmoud
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Mountain Flower,Montparnasse,Edelweiss
ゴールデンサッシュ,ディクタス,ダイナサッシュ
ディクタス,Sanctus,Doronic
Sanctus,Fine Top,Sanelta
Doronic,Worden,Dulzetta
ダイナサッシュ,ノーザンテースト,ロイヤルサッシュ
ノーザンテースト,Northern Dancer,Lady Victoria
ロイヤルサッシュ,Princely Gift,Sash of Honour
ディラローシェ,デインヒル,Sea Port
デインヒル,Danzig,Razyana
Danzig,Northern Dancer,Pas de Nom
Northern Dancer,Nearctic,Natalma
Pas de Nom,Admiral's Voyage,Petitioner
Razyana,His Majesty,Spring Adieu
His Majesty,Ribot,Flower Bowl
Spring Adieu,Buckpasser,Natalma
Sea Port,Averof,Anchor
Averof,Sing Sing,Argentina
Sing Sing,Tudor Minstrel,Agin the Law
Argentina,Nearco,Silvery Moon
Anchor,Major Portion,Ripeck
Major Portion,Court Martial,Better Half
Ripeck,Ribot,Kyak
