名前,父,母
フロリスト,ガロン,第四フロリースカツプ
ガロン,Gallinule,Flair
Gallinule,Isonomy,Moorhen
Isonomy,Sterling,Isola Bella
Sterling,Oxford,Whisper
Isola Bella,Stockwell,Isoline
Moorhen,Hermit,Skirmisher Mare
Hermit,Newminster,Seclusion
Skirmisher Mare,Skirmisher,Vertumna
Flair,St. Frusquin,Glare
St. Frusquin,St. Simon,Isabel
St. Simon,Galopin,St. Angela
Isabel,Plebeian,Parma
Glare,Ayrshire,Footlight
Ayrshire,Hampton,Atalanta
Footlight,Cremorne,Paraffin
第四フロリースカツプ,インタグリオー,フロリースカツプ
インタグリオー,Childwick,Cameo
Childwick,St. Simon,Plaisanterie
Plaisanterie,Wellingtonia,Poetess
Cameo,Thurio,Light of Other Days
Thurio,Cremorne,Verona
Light of Other Days,Balfe,Meteor
フロリースカツプ,Florizel,Stirrup Cup
Florizel,St. Simon,Perdita
Perdita,Hampton,Hermione
Stirrup Cup,Melton,Sterling Love
Melton,Master Kildare,Violet Melrose
Sterling Love,See Saw,True Love
