名前,父,母
ブリユーリボン,ステーツマン,久友
ステーツマン,Blandford,Dail
Blandford,Swynford,Blanche
Swynford,John o'Gaunt,Canterbury Pilgrim
John o'Gaunt,Isinglass,La Fleche
Canterbury Pilgrim,Tristan,Pilgrimage
Blanche,White Eagle,Black Cherry
White Eagle,Gallinule,Merry Gal
Black Cherry,Bendigo,Black Duchess
Dail,Land League,Discourse
Land League,Desmond,Combine
Desmond,St. Simon,L'Abbesse de Jouarre
Combine,Carbine,Molly Morgan
Discourse,Beppo,Rhetoric
Beppo,Marco,Pitti
Rhetoric,Cyllene,Gas
久友,トウルヌソル,星友
トウルヌソル,Gainsborough,Soliste
Gainsborough,Bayardo,Rosedrop
Bayardo,Bay Ronald,Galicia
Rosedrop,St. Frusquin,Rosaline
Soliste,Prince William,Sees
Prince William,Bill of Portland,La Vierge
Sees,Chesterfield,La Goulue
星友,Sir Martin,Colna
Sir Martin,Ogden,Lady Sterling
Ogden,Kilwarlin,Oriole
Lady Sterling,Hanover,Aquila
Colna,Collar,Nausicaa
Collar,St. Simon,Ornament
Nausicaa,Gallinule,Verte-Grez
