名前,父,母
マーベラスサンデー,サンデーサイレンス,モミジダンサー
サンデーサイレンス,Halo,Wishing Well
Halo,Hail to Reason,Cosmah
Hail to Reason,Turn-to,Nothirdchance
Turn-to,Royal Charger,Source Sucree
Nothirdchance,Blue Swords,Galla Colors
Cosmah,Cosmic Bomb,Almahmoud
Cosmic Bomb,Pharamond,Banish Fear
Almahmoud,Mahmoud,Arbitrator
Wishing Well,Understanding,Mountain Flower
Understanding,Promised Land,Pretty Ways
Promised Land,Palestinian,Mahmoudess
Pretty Ways,Stymie,Pretty Jo
Mountain Flower,Montparnasse,Edelweiss
Montparnasse,Gulf Stream,Mignon
Edelweiss,Hillary,Dowager
モミジダンサー,ヴァイスリーガル,モミジII
ヴァイスリーガル,Northern Dancer,Victoria Regina
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Victoria Regina,Menetrier,Victoriana
Menetrier,Fair Copy,La Melodie
Victoriana,Windfields,Iribelle
モミジII,Laugh Aloud,Hold Me Close
Laugh Aloud,Tom Fool,Gloria Nicky
Tom Fool,Menow,Gaga
Gloria Nicky,Alycidon,Weighbridge
Hold Me Close,Native Dancer,Sticky Case
Native Dancer,Polynesian,Geisha
Sticky Case,Court Martial,Run Honey
