名前,父,母
ミホノブルボン,マグニテュード,カツミエコー
マグニテュード,Mill Reef,Altesse Royale
Mill Reef,Never Bend,Milan Mill
Never Bend,Nasrullah,Lalun
Nasrullah,Nearco,Mumtaz Begum
Lalun,Djeddah,Be Faithful
Milan Mill,Princequillo,Virginia Water
Princequillo,Prince Rose,Cosquilla
Virginia Water,Count Fleet,Red Ray
Altesse Royale,セントクレスピン,Blue Azur
セントクレスピン,Aureole,Neocracy
Aureole,Hyperion,Angelola
Neocracy,Nearco,Harina
Blue Azur,Crepello,Blue Prelude
Crepello,Donatello,Crepuscule
Blue Prelude,Blue Peter,キーボード
カツミエコー,シャレー,ハイフレーム
シャレー,Luthier,Christiana
Luthier,Klairon,Flute Enchantee
Klairon,Clarion,Kalmia
Flute Enchantee,Cranach,Montagnana
Christiana,Double Jump,Mount Rosa
Double Jump,Rustam,Fair Bid
Mount Rosa,Hill Gail,Vestal Virgin
ハイフレーム,ユアハイネス,カミヤマト
ユアハイネス,Chamossaire,Lady Grand
Chamossaire,Precipitation,Snowberry
Lady Grand,Solario,Begum
カミヤマト,ライジングフレーム,コロナ
ライジングフレーム,The Phoenix,Admirable
コロナ,月友,秀節
