名前,父,母
メイショウドトウ,Bigstone,プリンセスリーマ
Bigstone,ラストタイクーン,Batave
ラストタイクーン,トライマイベスト,Mill Princess
トライマイベスト,Northern Dancer,Sex Appeal
Northern Dancer,Nearctic,Natalma
Sex Appeal,Buckpasser,Best in Show
Mill Princess,Mill Reef,Irish Lass
Mill Reef,Never Bend,Milan Mill
Irish Lass,Sayajirao,Scollata
Batave,ポツセ,Bon Appetit
ポツセ,Forli,In Hot Pursuit
Forli,Aristophanes,Trevisa
In Hot Pursuit,Bold Ruler,Lady Be Good
Bon Appetit,Major Portion,Sweet Solera
Major Portion,Court Martial,Better Half
Sweet Solera,ソロナウェー,Miss Gammon
プリンセスリーマ,Affirmed,First Fling
Affirmed,Exclusive Native,Won't Tell You
Exclusive Native,Raise a Native,Exclusive
Raise a Native,Native Dancer,Raise You
Exclusive,Shut Out,Good Example
Won't Tell You,Crafty Admiral,Scarlet Ribbon
Crafty Admiral,Fighting Fox,Admiral's Lady
Scarlet Ribbon,Volcanic,Native Valor
First Fling,Nijinsky,Fast Approach
Nijinsky,Northern Dancer,Flaming Page
Flaming Page,Bull Page,Flaring Top
Fast Approach,First Landing,Pinny Gray
First Landing,Turn-to,Hildene
Pinny Gray,Palestine,Pin Up Girl
