名前,父,母
メジロアルダン,アスワン,メジロヒリュウ
アスワン,ノーザンテースト,リリーオブザナイル
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Lady Victoria,Victoria Park,Lady Angela
Victoria Park,Chop Chop,Victoriana
Lady Angela,Hyperion,Sister Sarah
リリーオブザナイル,Never Bend,Nile Lily
Never Bend,Nasrullah,Lalun
Nasrullah,Nearco,Mumtaz Begum
Lalun,Djeddah,Be Faithful
Nile Lily,Roman,Azalea
Roman,Sir Gallahad,Buckup
Azalea,Sun Teddy,Coquelicot
メジロヒリュウ,ネヴァービート,アマゾンウォリアー
ネヴァービート,Never Say Die,Bride Elect
Never Say Die,Nasrullah,Singing Grass
Singing Grass,War Admiral,Boreale
Bride Elect,Big Game,Netherton Maid
Big Game,Bahram,Myrobella
Netherton Maid,Nearco,Phase
アマゾンウォリアー,Khaled,War Betsy
Khaled,Hyperion,Eclair
Hyperion,Gainsborough,Selene
Eclair,Ethnarch,Black Ray
War Betsy,War Relic,Betsy Ross
War Relic,Man o'War,Friar's Carse
Betsy Ross,Mahmoud,Celerina
