名前,父,母
メジロマックイーン,メジロティターン,メジロオーロラ
メジロティターン,メジロアサマ,シエリル
メジロアサマ,パーソロン,スヰート
パーソロン,Milesian,Paleo
Milesian,My Babu,Oatflake
Paleo,Pharis,Calonice
スヰート,First Fiddle,Blue Eyed Momo
First Fiddle,Royal Minstrel,Rueful
Blue Eyed Momo,War Admiral,Big Event
シエリル,スノッブ,Chanel
スノッブ,Mourne,Senones
Mourne,Vieux Manoir,Ballynash
Senones,Prince Bio,Sif
Chanel,Pan,Barley Corn
Pan,Atys,Pretty Girl
Barley Corn,Hyperion,Schiaparelli
メジロオーロラ,リマンド,メジロアイリス
リマンド,Alcide,Admonish
Alcide,Alycidon,Chenille
Alycidon,Donatello,Aurora
Chenille,King Salmon,Sweet Aloe
Admonish,Palestine,Warning
Palestine,Fair Trial,Una
Warning,Chanteur,Vertencia
メジロアイリス,ヒンドスタン,アサマユリ
ヒンドスタン,Bois Roussel,Sonibai
Bois Roussel,Vatout,Plucky Liege
Sonibai,Solario,Udaipur
アサマユリ,ボストニアン,トモエ
ボストニアン,セフト,神正
トモエ,月友,アスエ
