名前,父,母
メジロライアン,アンバーシャダイ,メジロチェイサー
アンバーシャダイ,ノーザンテースト,クリアアンバー
ノーザンテースト,Northern Dancer,Lady Victoria
Northern Dancer,Nearctic,Natalma
Nearctic,Nearco,Lady Angela
Natalma,Native Dancer,Almahmoud
Lady Victoria,Victoria Park,Lady Angela
Victoria Park,Chop Chop,Victoriana
Lady Angela,Hyperion,Sister Sarah
クリアアンバー,Ambiopoise,One Clear Call
Ambiopoise,Ambiorix,Bull Poise
Ambiorix,Tourbillon,Lavendula
Bull Poise,Bull Lea,Alpoise
One Clear Call,Gallant Man,Europa
Gallant Man,Migoli,Majideh
Europa,Bull Lea,Sicily
メジロチェイサー,メジロサンマン,シエリル
メジロサンマン,Charlottesville,パラデイシア
Charlottesville,Prince Chevalier,Noorani
Prince Chevalier,Prince Rose,Chevalerie
Noorani,Nearco,Empire Glory
パラデイシア,Aureole,Chenille
Aureole,Hyperion,Angelola
Chenille,King Salmon,Sweet Aloe
シエリル,スノッブ,Chanel
スノッブ,Mourne,Senones
Mourne,Vieux Manoir,Ballynash
Senones,Prince Bio,Sif
Chanel,Pan,Barley Corn
Pan,Atys,Pretty Girl
Barley Corn,Hyperion,Schiaparelli
